SR	SU-SG	SG-SR	SG-SI	SG-SZ	SG-K	J-K	H-K	SG-B1	SG-B2
13.5	1.246	0.369	-9999	0.499	-9999	-9999	0.07	0.4	1.7
13.7	1.256	0.388	0.522	0.535	1.66	0.31	0.06	1.74	1.7
13.9	1.287	0.408	0.539	0.569	1.71	0.33	0.06	1.77	1.73
14.1	1.327	0.431	0.566	0.612	1.79	0.35	0.06	1.84	1.8
14.3	1.378	0.465	0.61	0.663	1.88	0.37	0.07	1.93	1.88
14.5	1.444	0.507	0.665	0.719	1.97	0.39	0.07	2.03	1.99
14.7	1.519	0.545	0.719	0.785	2.05	0.43	0.07	2.09	2.05
14.9	1.601	0.579	0.766	0.849	2.2	0.45	0.08	2.25	2.21
15.1	1.692	0.616	0.816	0.911	2.3	0.48	0.08	2.34	2.31
15.3	1.794	0.661	0.878	0.992	2.43	0.51	0.08	2.47	2.43
15.5	1.896	0.713	0.949	1.082	2.63	0.55	0.09	2.66	2.61
15.7	2.011	0.772	1.036	1.186	2.78	0.59	0.09	2.81	2.75
15.9	2.143	0.841	1.136	1.303	2.97	0.62	0.1	3.01	2.93
16.1	2.259	0.912	1.23	1.406	3.1	0.65	0.1	3.15	3.06
16.3	2.368	0.988	1.338	1.535	3.28	0.68	0.1	3.34	3.25
16.5	2.467	1.07	1.465	1.696	3.46	0.7	0.11	3.54	3.45
16.7	2.533	1.147	1.578	1.828	3.65	0.73	0.12	3.74	3.64
16.9	2.591	1.216	1.674	1.943	3.83	0.76	0.13	3.93	3.83
17.1	2.638	1.279	1.773	2.066	4	0.79	0.14	4.1	4.04
17.3	2.66	1.33	1.866	2.182	4.22	0.82	0.15	4.31	4.28
17.5	2.655	1.363	1.953	2.297	4.4	0.85	0.18	4.5	4.47
17.7	2.628	1.392	2.048	2.422	4.53	0.88	0.21	4.63	4.63
17.9	2.625	1.419	2.13	2.539	4.67	0.89	0.22	4.79	4.8
18.1	2.655	1.44	2.188	2.628	4.77	0.9	0.23	4.91	4.93
18.3	-9999	1.455	2.241	2.704	4.86	0.91	0.24	5.02	5.04
18.5	-9999	1.454	2.292	2.776	4.95	0.91	0.25	5.13	5.15
18.7	-9999	1.448	2.339	2.841	5.03	0.91	0.26	5.22	5.24
18.9	-9999	1.458	2.387	2.908	5.1	0.91	0.27	5.3	5.32
19.1	-9999	1.46	2.43	2.974	5.17	0.91	0.28	5.38	5.4
19.3	-9999	1.451	2.474	3.043	5.27	0.92	0.29	5.47	5.5
19.5	-9999	1.445	2.52	3.116	5.34	0.92	0.3	5.54	5.58
19.7	-9999	1.447	2.569	3.189	5.4	0.92	0.3	5.6	5.65
19.9	-9999	1.463	2.612	3.253	5.46	0.92	0.29	5.67	5.72
20.1	-9999	1.476	2.635	3.285	5.57	0.92	0.28	5.78	5.84
20.3	-9999	1.467	2.671	3.338	5.59	0.91	0.28	5.81	5.88
20.5	-9999	1.464	2.711	3.415	5.63	0.9	0.28	5.86	5.94
20.7	-9999	1.487	2.714	3.417	5.68	0.89	0.28	5.92	6.01
20.9	-9999	1.505	2.68	3.333	5.74	0.88	0.28	5.99	6.09
